onset	duration	begsample	endsample	offset	ai_hb
10650	30	2726401	2734080	0	-2
10680	30	2734081	2741760	0	-2
10710	30	2741761	2749440	0	-2
10740	30	2749441	2757120	0	-2
10770	30	2757121	2764800	0	-2
10800	30	2764801	2772480	0	-2
10830	30	2772481	2780160	0	-2
10860	30	2780161	2787840	0	-2
10890	30	2787841	2795520	0	-2
10920	30	2795521	2803200	0	-2
10950	30	2803201	2810880	0	-2
10980	30	2810881	2818560	0	-2
11010	30	2818561	2826240	0	-2
11040	30	2826241	2833920	0	-2
11070	30	2833921	2841600	0	-2
11100	30	2841601	2849280	0	-2
11130	30	2849281	2856960	0	-2
11160	30	2856961	2864640	0	-2
11190	30	2864641	2872320	0	-2
11220	30	2872321	2880000	0	-2
11250	30	2880001	2887680	0	-2
11280	30	2887681	2895360	0	-2
11310	30	2895361	2903040	0	-2
11340	30	2903041	2910720	0	-2
11370	30	2910721	2918400	0	-2
11400	30	2918401	2926080	0	-2
11430	30	2926081	2933760	0	-2
11460	30	2933761	2941440	0	-2
11490	30	2941441	2949120	0	-2
11520	30	2949121	2956800	0	-2
11550	30	2956801	2964480	0	-2
11580	30	2964481	2972160	0	-2
11610	30	2972161	2979840	0	-2
11640	30	2979841	2987520	0	-2
11670	30	2987521	2995200	0	-2
11700	30	2995201	3002880	0	-2
11730	30	3002881	3010560	0	-2
11760	30	3010561	3018240	0	-2
11790	30	3018241	3025920	0	-2
11820	30	3025921	3033600	0	-2
11850	30	3033601	3041280	0	-2
11880	30	3041281	3048960	0	-2
11910	30	3048961	3056640	0	-2
11940	30	3056641	3064320	0	-2
11970	30	3064321	3072000	0	-2
12000	30	3072001	3079680	0	-2
12030	30	3079681	3087360	0	-2
12060	30	3087361	3095040	0	-2
12090	30	3095041	3102720	0	-2
12120	30	3102721	3110400	0	-2
12150	30	3110401	3118080	0	-2
12180	30	3118081	3125760	0	-2
12210	30	3125761	3133440	0	-2
12240	30	3133441	3141120	0	-2
12270	30	3141121	3148800	0	-2
12300	30	3148801	3156480	0	-2
12330	30	3156481	3164160	0	-2
12360	30	3164161	3171840	0	-2
12390	30	3171841	3179520	0	-2
12420	30	3179521	3187200	0	-2
12450	30	3187201	3194880	0	-2
12480	30	3194881	3202560	0	-2
12510	30	3202561	3210240	0	-2
12540	30	3210241	3217920	0	-2
12570	30	3217921	3225600	0	-2
12600	30	3225601	3233280	0	-2
12630	30	3233281	3240960	0	-2
12660	30	3240961	3248640	0	-2
12690	30	3248641	3256320	0	-2
12720	30	3256321	3264000	0	-2
12750	30	3264001	3271680	0	-2
12780	30	3271681	3279360	0	-2
12810	30	3279361	3287040	0	-2
12840	30	3287041	3294720	0	-2
12870	30	3294721	3302400	0	-2
12900	30	3302401	3310080	0	-2
12930	30	3310081	3317760	0	-2
12960	30	3317761	3325440	0	-2
12990	30	3325441	3333120	0	-2
13020	30	3333121	3340800	0	-2
13050	30	3340801	3348480	0	-2
13080	30	3348481	3356160	0	-2
13110	30	3356161	3363840	0	-2
13140	30	3363841	3371520	0	-2
13170	30	3371521	3379200	0	-2
13200	30	3379201	3386880	0	-2
13230	30	3386881	3394560	0	-2
